Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,667536400000.0,,,
2000-01-04,HDFC,EQ,293.5,317.0,317.0,297.0,304.0,304.05,303.62,255251,7749972375000.0,,,
2000-01-05,HDFC,EQ,304.05,290.0,303.9,285.0,295.0,292.8,294.53,269087,7925367705000.0,,,
2000-01-06,HDFC,EQ,292.8,301.0,314.0,295.0,296.0,296.45,300.14,305916,9181669105000.0,,,
2000-01-07,HDFC,EQ,296.45,290.0,296.35,281.0,287.1,286.55,288.8,197039,5690480500000.0,,,
2000-01-10,HDFC,EQ,286.55,292.0,296.0,285.0,288.4,287.2,289.42,133363,3859778795000.0005,,,
2000-01-11,HDFC,EQ,287.2,290.0,292.0,273.25,282.85,283.85,284.54,337411,9600616635000.0,,,
2000-01-12,HDFC,EQ,283.85,287.0,293.0,284.5,285.25,285.6,287.6,222537,6400216900000.0,,,
2000-01-13,HDFC,EQ,285.6,288.0,290.5,283.0,284.0,283.85,285.84,113238,3236741395000.0,,,
2000-01-14,HDFC,EQ,283.85,284.0,294.0,276.25,291.0,286.55,283.6,152322,4319904740000.0,,,
2000-01-17,HDFC,EQ,286.55,302.0,309.5,295.0,303.5,302.2,302.87,500852,15169252255000.002,,,
2000-01-18,HDFC,EQ,302.2,307.0,317.85,301.05,305.25,305.75,308.57,369304,11395788435000.0,,,
2000-01-19,HDFC,EQ,305.75,310.0,315.0,303.05,304.5,305.25,308.98,377937,11677647125000.0,,,
2000-01-20,HDFC,EQ,305.25,303.0,306.0,288.0,291.9,291.35,297.57,208122,6193173250000.0,,,
2000-01-21,HDFC,EQ,291.35,292.0,307.0,290.0,299.5,299.55,300.93,591458,17798952630000.0,,,
2000-01-24,HDFC,EQ,299.55,306.0,306.0,291.0,294.0,293.05,295.58,207336,6128411875000.0,,,
2000-01-25,HDFC,EQ,293.05,285.0,308.95,281.0,305.5,303.15,299.56,512403,15349366555000.002,,,
2000-01-27,HDFC,EQ,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,26508714185000.0,,,
2000-01-28,HDFC,EQ,316.6,328.5,328.9,315.0,326.0,324.4,323.32,1224604,39594151950000.0,,,
2000-01-31,HDFC,EQ,324.4,328.7,349.95,320.05,332.5,333.5,336.09,1449638,48720523915000.0,,,
2000-02-01,HDFC,EQ,333.5,337.0,353.9,335.0,351.25,350.55,345.34,1220141,42136299640000.0,,,
2000-02-02,HDFC,EQ,350.55,355.0,357.0,342.0,349.0,351.4,349.83,1124774,39347762685000.0,,,
2000-02-03,HDFC,EQ,351.4,345.55,351.5,338.15,342.0,341.9,344.17,338774,11659509050000.0,,,
