,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,115.0,116.335,114.56,115.81,115.81,3322012,0.0000,1.0,2021-11-26
1,116.16,117.27,116.08,116.73,116.73,3220802,0.0000,1.0,2021-11-24
2,116.79,117.94,116.04,116.79,116.79,4914995,0.0000,1.0,2021-11-23
3,116.0,118.81,115.19,116.47,116.47,6417218,0.0000,1.0,2021-11-22
4,116.49,116.56,115.27,116.05,116.05,5384548,0.0000,1.0,2021-11-19
5,118.36,118.36,116.31,116.66,116.66,5047879,0.0000,1.0,2021-11-18
6,118.38,119.33,117.78,118.06,118.06,4043289,0.0000,1.0,2021-11-17
7,118.92,119.9,118.42,118.46,118.46,4750760,0.0000,1.0,2021-11-16
8,119.54,120.16,118.31,118.87,118.87,5046321,0.0000,1.0,2021-11-15
9,120.0,120.64,118.78,118.96,118.96,5376966,0.0000,1.0,2021-11-12
10,120.9,121.7894,120.08,120.27,120.27,4643257,0.0000,1.0,2021-11-11
11,121.0,122.43,119.932,120.22,120.22,6268961,0.0000,1.0,2021-11-10
12,122.56,122.9,120.26,120.85,120.85,7195453,1.6400,1.0,2021-11-09
13,123.985,124.78,123.53,124.54,122.872552861,5625275,0.0000,1.0,2021-11-08
14,121.43,123.77,121.43,123.61,121.95500449,6790478,0.0000,1.0,2021-11-05
15,123.05,123.34,119.9,120.85,119.231957711,7208736,0.0000,1.046,2021-11-04
16,126.23,127.29,125.68,127.13,119.911927098,5421406,0.0000,1.0,2021-11-03
17,126.3,127.17,124.91,126.18,119.015865345,4496393,0.0000,1.0,2021-11-02
18,125.05,126.31,123.8375,126.28,119.110187635,5874767,0.0000,1.0,2021-11-01
19,125.43,126.32,124.91,125.1,117.997184614,5916789,0.0000,1.0,2021-10-29
20,125.17,126.31,124.62,125.84,118.695169559,6503003,0.0000,1.0,2021-10-28
21,127.44,127.88,125.01,125.17,118.063210217,6973432,0.0000,1.0,2021-10-27
22,127.52,128.3,126.755,127.13,119.911927098,8520872,0.0000,1.0,2021-10-26
23,127.53,128.65,126.94,127.64,120.392970777,6374038,0.0000,1.0,2021-10-25
24,128.05,130.25,126.611,127.88,120.619344272,11582195,0.0000,1.0,2021-10-22
25,133.51,133.72,128.1,128.33,121.043794577,31466529,0.0000,1.0,2021-10-21
26,141.68,142.2,140.7,141.9,133.843329311,6189255,0.0000,1.0,2021-10-20
27,141.08,142.94,140.5201,141.98,133.918787143,4339548,0.0000,1.0,2021-10-19
28,144.0,144.94,141.759,142.32,134.239482928,6154055,0.0000,1.0,2021-10-18
29,143.39,144.85,142.79,144.61,136.399463366,3222778,0.0000,1.0,2021-10-15
30,141.04,143.92,141.01,143.39,135.24873143,4217305,0.0000,1.0,2021-10-14
31,140.52,141.41,139.66,140.76,132.768055206,2880747,0.0000,1.0,2021-10-13
32,142.21,142.3,140.3,140.47,132.494520566,3148559,0.0000,1.0,2021-10-12
33,143.5,144.08,142.4,142.43,134.343237447,2793298,0.0000,1.0,2021-10-11
34,141.81,143.65,141.05,143.22,135.088383537,3731279,0.0000,1.0,2021-10-08
35,142.73,143.395,141.53,141.81,133.75843925,3823803,0.0000,1.0,2021-10-07
36,142.48,143.37,140.89,142.36,134.277211844,5328433,0.0000,1.0,2021-10-06
37,144.75,145.0,142.64,143.15,135.022357934,6976648,0.0000,1.0,2021-10-05
38,142.74,146.0,142.3501,144.11,135.927851917,7351128,0.0000,1.0,2021-10-04
39,141.0,143.97,140.37,143.32,135.182705827,6604064,0.0000,1.0,2021-10-01
40,140.0,140.57,138.5,138.93,131.041957302,5824431,0.0000,1.0,2021-09-30
41,137.73,139.93,136.44,139.18,131.277763027,3774236,0.0000,1.0,2021-09-29
42,139.17,139.688,137.21,137.47,129.66485187,4314595,0.0000,1.0,2021-09-28
43,137.96,139.065,137.48,138.56,130.692964829,3306865,0.0000,1.0,2021-09-27
44,137.03,138.48,136.75,137.49,129.683716328,2964397,0.0000,1.0,2021-09-24
45,135.25,137.42,135.03,136.73,128.966866925,3013238,0.0000,1.0,2021-09-23
46,133.72,135.37,133.47,134.63,126.986098838,3602416,0.0000,1.0,2021-09-22
47,135.11,135.65,132.94,132.97,125.420348826,4074528,0.0000,1.0,2021-09-21
48,133.9,135.18,132.78,134.31,126.68426751,4770651,0.0000,1.0,2021-09-20
49,135.75,135.9199,135.05,135.23,127.552032577,5633480,0.0000,1.0,2021-09-17
50,137.28,137.95,135.71,136.43,128.683900055,2643975,0.0000,1.0,2021-09-16
51,136.22,137.8,135.67,137.2,129.410181687,3254122,0.0000,1.0,2021-09-15
52,138.4,138.57,135.34,136.22,128.485823247,4454291,0.0000,1.0,2021-09-14
53,138.4,138.99,137.51,138.15,130.306243441,4144345,0.0000,1.0,2021-09-13
54,138.82,139.3699,137.0,137.02,129.240401566,3975115,0.0000,1.0,2021-09-10
55,137.85,138.96,137.555,137.74,129.919522053,3508363,0.0000,1.0,2021-09-09
56,138.14,139.09,137.6,138.67,130.796719348,2985409,0.0000,1.0,2021-09-08
57,139.65,139.79,137.7614,138.06,130.22135338,3285363,0.0000,1.0,2021-09-07
58,139.68,140.47,139.3,139.58,131.655052186,1924215,0.0000,1.0,2021-09-03
59,139.72,140.05,139.03,140.01,132.060638032,2715659,0.0000,1.0,2021-09-02
60,139.98,140.0699,139.19,139.3,131.390949774,2474544,0.0000,1.0,2021-09-01
61,139.54,140.94,138.95,140.34,132.371901589,4235101,0.0000,1.0,2021-08-31
62,139.5,139.88,138.815,138.97,131.079686218,1995526,0.0000,1.0,2021-08-30
63,138.71,139.585,138.4,139.41,131.494704293,2459643,0.0000,1.0,2021-08-27
64,139.97,140.8,138.71,138.78,130.900473867,2498915,0.0000,1.0,2021-08-26
65,139.92,140.8,139.46,139.86,131.919154598,2012817,0.0000,1.0,2021-08-25
66,139.78,140.23,139.32,139.84,131.90029014,2365638,0.0000,1.0,2021-08-24
67,139.62,140.15,138.8,139.62,131.692781102,3039587,0.0000,1.0,2021-08-23
68,137.74,139.38,137.27,139.11,131.211737424,2657763,0.0000,1.0,2021-08-20
69,138.69,139.45,137.21,138.02,130.183624464,4160129,0.0000,1.0,2021-08-19
70,141.67,141.915,139.39,139.47,131.551297667,3510694,0.0000,1.0,2021-08-18
71,143.0,143.16,141.09,142.42,134.333805218,3074078,0.0000,1.0,2021-08-17
72,143.23,143.74,142.23,143.59,135.437376009,2786343,0.0000,1.0,2021-08-16
73,142.64,143.58,142.44,143.18,135.050654621,1908951,0.0000,1.0,2021-08-13
74,142.26,143.15,142.0766,143.07,134.946900102,2089418,0.0000,1.0,2021-08-12
75,141.78,142.7685,141.5,142.13,134.060270577,4259952,0.0000,1.0,2021-08-11
76,141.21,141.811,140.34,141.38,133.352853403,5299869,0.0000,1.0,2021-08-10
77,142.2,142.495,140.97,141.25,133.230234427,4904065,1.6400,1.0,2021-08-09
78,143.0,144.39,142.89,144.09,134.349111054,3826835,0.0000,1.0,2021-08-06
79,143.03,143.41,142.22,142.77,133.118346764,2757389,0.0000,1.0,2021-08-05
80,143.8,144.18,142.47,142.76,133.109022792,2830079,0.0000,1.0,2021-08-04
81,141.9,144.7,141.65,144.07,134.33046311,4084724,0.0000,1.0,2021-08-03
82,141.45,143.06,141.03,141.42,131.859610558,2929540,0.0000,1.0,2021-08-02
