,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,2470.0,2474.5,2405.0,2409.8,2409.8,285664,0.0000,1.0,2021-12-13
1,2444.0,2466.1001,2430.5,2458.95,2458.95,127783,0.0000,1.0,2021-12-10
2,2431.1001,2474.8999,2425.45,2455.8501,2455.8501,170477,0.0000,1.0,2021-12-09
3,2427.0,2431.45,2407.1001,2417.3999,2417.3999,655272,0.0000,1.0,2021-12-08
4,2381.7,2403.75,2373.55,2381.6001,2381.6001,243374,0.0000,1.0,2021-12-07
5,2421.0,2424.55,2357.1499,2363.3,2363.3,406872,0.0000,1.0,2021-12-06
6,2490.1499,2494.95,2400.1001,2408.1499,2408.1499,385570,0.0000,1.0,2021-12-03
7,2466.8999,2496.0,2461.2,2483.8,2483.8,212570,0.0000,1.0,2021-12-02
8,2425.5,2474.6001,2425.5,2466.8999,2466.8999,334818,0.0000,1.0,2021-12-01
9,2466.0,2475.8999,2390.0,2406.75,2406.75,568273,0.0000,1.0,2021-11-30
10,2412.0,2500.0,2400.0,2442.5,2442.5,451870,0.0000,1.0,2021-11-29
11,2470.0,2477.45,2403.0,2412.1499,2412.1499,397321,0.0000,1.0,2021-11-26
12,2375.5,2502.8,2358.0,2494.3999,2494.3999,476931,0.0000,1.0,2021-11-25
13,2381.3999,2410.8501,2344.0,2350.8999,2350.8999,1856369,0.0000,1.0,2021-11-24
14,2339.0,2401.5,2309.3999,2386.1499,2386.1499,457139,0.0000,1.0,2021-11-23
15,2440.0,2446.25,2351.0,2363.3999,2363.3999,416968,0.0000,1.0,2021-11-22
16,2459.8999,2489.0,2450.6001,2472.75,2472.75,242463,0.0000,1.0,2021-11-18
17,2499.7,2500.0,2460.3501,2464.05,2464.05,370002,0.0000,1.0,2021-11-17
18,2573.0,2576.0,2495.0,2512.1001,2512.1001,245061,0.0000,1.0,2021-11-16
19,2600.0,2602.1001,2570.0,2578.55,2578.55,104839,0.0000,1.0,2021-11-15
20,2560.0,2598.8,2557.0,2592.5,2592.5,283433,0.0000,1.0,2021-11-12
21,2549.3999,2571.0,2535.95,2554.95,2554.95,266898,0.0000,1.0,2021-11-11
22,2518.8999,2558.0,2503.8501,2549.3999,2549.3999,108322,0.0000,1.0,2021-11-10
23,2502.0,2528.95,2486.7,2520.05,2520.05,282251,0.0000,1.0,2021-11-09
24,2510.1001,2522.0,2457.6499,2502.0,2502.0,183715,0.0000,1.0,2021-11-08
25,2494.8999,2505.0,2490.05,2498.8,2498.8,64847,0.0000,1.0,2021-11-04
26,2504.75,2520.45,2461.0,2483.8501,2483.8501,249022,0.0000,1.0,2021-11-03
27,2551.8999,2551.8999,2497.0,2500.8999,2500.8999,416615,0.0000,1.0,2021-11-02
28,2531.2,2555.0,2494.0,2537.3501,2537.3501,347023,0.0000,1.0,2021-11-01
29,2586.0,2595.1499,2502.55,2537.6001,2537.6001,340018,0.0000,1.0,2021-10-29
30,2621.0,2637.8,2591.1001,2599.3501,2599.3501,404017,0.0000,1.0,2021-10-28
31,2659.8,2677.0,2620.0,2632.6499,2632.6499,240760,0.0000,1.0,2021-10-27
32,2614.45,2668.8501,2603.3501,2661.5,2661.5,387791,0.0000,1.0,2021-10-26
33,2699.0,2699.0,2570.1001,2601.6499,2601.6499,424305,0.0000,1.0,2021-10-25
34,2623.8,2664.7,2611.3999,2627.05,2627.05,299137,0.0000,1.0,2021-10-22
35,2725.95,2725.95,2603.0,2623.0,2623.0,395833,0.0000,1.0,2021-10-21
36,2740.0,2744.1001,2691.45,2699.8999,2699.8999,2747085,0.0000,1.0,2021-10-20
37,2726.0,2750.0,2708.0,2731.5,2731.5,108463,0.0000,1.0,2021-10-19
38,2684.0,2744.95,2660.0,2707.0,2707.0,161592,0.0000,1.0,2021-10-18
39,2705.0,2717.7,2687.1499,2699.8501,2699.8501,152754,0.0000,1.0,2021-10-14
40,2683.0,2719.5,2669.0,2695.8999,2695.8999,229201,0.0000,1.0,2021-10-13
41,2641.0,2682.75,2641.0,2668.55,2668.55,129947,0.0000,1.0,2021-10-12
42,2724.7,2724.7,2645.05,2651.1499,2651.1499,2880808,0.0000,1.0,2021-10-11
43,2580.0,2683.8999,2580.0,2670.8501,2670.8501,328023,0.0000,1.0,2021-10-08
44,2600.0,2600.0,2568.1001,2572.1499,2572.1499,133140,0.0000,1.0,2021-10-07
45,2623.0,2623.0,2550.05,2560.2,2560.2,134604,0.0000,1.0,2021-10-06
46,2565.0,2612.0,2547.3,2609.1001,2609.1001,287513,0.0000,1.0,2021-10-05
47,2549.8999,2574.6499,2537.55,2555.8501,2555.8501,1315342,0.0000,1.0,2021-10-04
48,2506.0,2539.8501,2495.8501,2522.8501,2522.8501,2866109,0.0000,1.0,2021-10-01
49,2527.8501,2534.1001,2500.75,2517.0,2517.0,270456,0.0000,1.0,2021-09-30
50,2562.0,2563.8999,2520.0,2527.25,2527.25,2433923,0.0000,1.0,2021-09-29
51,2531.0,2565.0,2512.2,2548.05,2548.05,1214524,0.0000,1.0,2021-09-28
52,2484.2,2529.0,2475.5,2525.2,2525.2,314356,0.0000,1.0,2021-09-27
53,2500.0,2504.7,2472.0,2482.95,2482.95,288081,0.0000,1.0,2021-09-24
54,2445.0,2496.95,2445.0,2489.6499,2489.6499,3174137,0.0000,1.0,2021-09-23
55,2409.0,2441.25,2398.1499,2430.6001,2430.6001,272044,0.0000,1.0,2021-09-22
56,2411.0,2416.0,2384.6499,2404.1499,2404.1499,376728,0.0000,1.0,2021-09-21
57,2375.0,2418.0,2370.0,2393.8999,2393.8999,215248,0.0000,1.0,2021-09-20
58,2445.0,2455.8,2378.8,2390.3999,2390.3999,231182,0.0000,1.0,2021-09-17
59,2379.0,2436.0,2367.0,2428.1001,2428.1001,408347,0.0000,1.0,2021-09-16
60,2372.0,2395.25,2368.8501,2378.95,2378.95,76028,0.0000,1.0,2021-09-15
61,2378.0,2394.0,2366.1001,2368.3,2368.3,241961,0.0000,1.0,2021-09-14
62,2428.0,2430.0,2368.1001,2371.55,2371.55,224625,0.0000,1.0,2021-09-13
63,2430.95,2438.3,2416.0,2425.45,2425.45,102685,0.0000,1.0,2021-09-09
64,2454.0,2455.0,2406.1499,2430.6001,2430.6001,233017,0.0000,1.0,2021-09-08
65,2429.1001,2458.0,2412.0,2441.3,2441.3,276017,0.0000,1.0,2021-09-07
66,2414.0,2479.8501,2413.3501,2424.55,2424.55,601994,0.0000,1.0,2021-09-06
67,2307.5,2394.3,2306.8,2388.25,2388.25,543323,0.0000,1.0,2021-09-03
68,2260.0,2307.0,2258.45,2293.6499,2293.6499,293438,0.0000,1.0,2021-09-02
69,2275.0,2292.8999,2130.0,2269.75,2269.75,299873,0.0000,1.0,2021-09-01
70,2275.25,2283.0,2242.5,2259.3,2259.3,376864,0.0000,1.0,2021-08-31
71,2240.0,2275.0,2239.6001,2270.05,2270.05,161691,0.0000,1.0,2021-08-30
72,2232.0,2242.3501,2215.8999,2226.75,2226.75,178133,0.0000,1.0,2021-08-27
73,2207.0,2244.8501,2204.8999,2230.6499,2230.6499,213604,0.0000,1.0,2021-08-26
74,2183.7,2219.8999,2180.0,2202.3,2202.3,208006,0.0000,1.0,2021-08-25
75,2163.8999,2191.8999,2155.45,2182.8,2182.8,270903,0.0000,1.0,2021-08-24
76,2168.0,2171.95,2132.45,2162.3999,2162.3999,133580,0.0000,1.0,2021-08-23
77,2148.0,2171.7,2138.0,2146.2,2146.2,254217,0.0000,1.0,2021-08-20
